category,model,horizon,fold,MAPE,WAPE,sMAPE,MAE,RMSE,true_MASE
Total_Cases,ARIMA,1,2,8.154525553663593,8.154525553663069,8.501139343731904,1272.676803160277,1272.676803160277,0.5831131308070301
Total_Cases,ARIMA,1,3,10.822691136692173,10.822691136691564,11.441849132669404,1919.7289538264577,1919.7289538264577,0.9640419922128177
Total_Cases,ARIMA,1,4,2.30117389722486,2.3011738972246962,2.274998066391691,323.1538503872871,323.1538503872871,0.17226258891209706
Total_Cases,SARIMA,1,0,20.368536212184452,20.368536212183177,18.48588420315302,3264.465298726802,3264.465298726802,1.115135175630437
Total_Cases,SARIMA,1,1,6.918674163934711,6.918674163934307,6.687336647491839,1185.6531914734915,1185.6531914734915,0.4838544984452375
Total_Cases,SARIMA,1,2,14.752281845077174,14.752281845076231,13.738882509960076,2302.388627561195,2302.388627561195,1.0549049355012348
Total_Cases,SARIMA,1,3,3.3882061111737514,3.3882061111735604,3.4465949820787545,601.0,601.0,0.30180783394710414
Total_Cases,SARIMA,1,4,11.137221391440576,11.137221391439782,10.549747048903523,1564.0,1564.0,0.8337164750957854
Total_Cases,LGBM,1,0,18.43810225386397,18.43810225386282,16.88176381649305,2955.0746482267787,2955.0746482267787,1.0094479142224757
Total_Cases,LGBM,1,1,1.5307731800615783,1.5307731800614888,1.5425798796005086,262.32859986715266,262.32859986715266,0.10705396319038238
Total_Cases,LGBM,1,2,5.279563199043826,5.279563199043488,5.143778676033595,823.9814284747699,823.9814284747699,0.37753056336979735
Total_Cases,LGBM,1,3,9.336059318887054,9.336059318886528,9.793209230371898,1656.0302019841856,1656.0302019841856,0.8316187823824166
Total_Cases,LGBM,1,4,19.087175808461613,19.087175808460252,17.424274823961472,2680.4120987822644,2680.4120987822644,1.4288387000005407
Total_Cases,Ensemble,1,0,4.019437988694985,4.019437988694734,3.940250035310445,644.1953264481454,644.1953264481454,0.2200559058720073
Total_Cases,Ensemble,1,1,3.5633167748772254,3.563316774877017,3.500941949003348,610.64559571071,610.64559571071,0.24919902427218724
Total_Cases,Ensemble,1,2,0.7291806353471147,0.729180635347068,0.7265317708557293,113.8032217586242,113.8032217586242,0.05214218784440349
Total_Cases,Ensemble,1,3,6.844180804444572,6.844180804444186,7.0866938753889315,1214.0207910923782,1214.0207910923782,0.6096522218408328
Total_Cases,Ensemble,1,4,8.260666671856093,8.260666671855505,7.933007037638702,1160.0454207287512,1160.0454207287512,0.6183817002052313
Total_Cases,Naive,3,0,11.061987224883689,11.30733530227209,11.836636076170459,1876.0,2075.3276046606875,0.6408380540294344
Total_Cases,Naive,3,1,2.6319988981525353,2.7149663465173806,2.6927134835060107,478.6666666666667,665.0097743642569,0.19533959979867507
Total_Cases,Naive,3,2,12.186253927488625,12.429941462199269,13.103937759333117,1996.0,2173.48215236902,0.9145242580053963
Total_Cases,Naive,3,3,10.213434269498324,10.314816597669967,10.81701721891742,1785.6666666666667,1875.9226174516546,0.8967191161700704
Total_Cases,Naive,3,4,8.606848199605494,9.065857774549611,9.138657442838777,1414.6666666666667,1735.0175791616637,0.7541118329724027
Total_Cases,SNaive,3,0,1.2741545440044195,1.2677556104715155,1.2801164179995173,210.33333333333334,241.57055560091203,0.07184946909960432
Total_Cases,SNaive,3,1,5.4534895499518905,5.382666565832161,5.767407774061787,949.0,1321.8649704111233,0.3872784405479303
Total_Cases,SNaive,3,2,3.3211179342747914,3.3192178353467985,3.2657026677179872,533.0,538.9907234823248,0.24420913302448707
Total_Cases,SNaive,3,3,4.169348915652396,4.157119476268332,4.12100745674015,719.6666666666666,724.5713675454383,0.3613993973886843
Total_Cases,SNaive,3,4,4.145235657845517,3.7745925277165795,3.9518205820997783,589.0,909.3303396822668,0.31397634516075296
Total_Cases,ETS,3,0,8.298163803406831,8.467401906106705,8.717238572929158,1404.8266502421914,1538.7811585292302,0.47988612835282235
Total_Cases,ETS,3,1,8.957886959220945,8.832775495621549,8.486440479718434,1557.2772050480792,1730.167869829123,0.6355109457026972
Total_Cases,ETS,3,2,5.348789870717235,5.461546034474382,5.5212795736521905,877.0150622159144,966.0231063888732,0.4018294333830489
Total_Cases,ETS,3,3,4.284385689568484,4.146358868483559,4.126115937761712,717.8038261156593,994.7449266899337,0.36046392339253064
Total_Cases,ETS,3,4,6.480129634541802,6.578494530347633,6.604147939120174,1026.530214830568,1066.4356254907477,0.5472091766546423
Total_Cases,Theta,3,0,8.967343112950594,9.22744685722094,9.526551511545101,1530.9257080815569,1784.3868264683138,0.5229613281613107
Total_Cases,Theta,3,1,2.8099292845811483,2.8769899794001823,2.8569463737716156,507.2325133014577,636.7283924700172,0.2069970671723876
Total_Cases,Theta,3,2,7.159954844871494,7.4214291902822564,7.560962659385726,1191.7330993755495,1476.8928403209588,0.5460264671577634
Total_Cases,Theta,3,3,6.376646575971505,6.480062540978021,6.639516319930514,1121.8068268856666,1255.2443357353916,0.5633445732602946
Total_Cases,Theta,3,4,8.677290441788514,9.135885749530368,9.213802387819243,1425.5940653092475,1745.2946492420451,0.7599368663983995
Total_Cases,ARIMA,3,0,10.310669667443092,10.556938511083757,10.997552671946465,1751.5016683739414,1961.8276526040988,0.5983096592697571
Total_Cases,ARIMA,3,1,2.736074122401075,2.8092038403531356,2.7883884201553784,495.28136507986954,642.9873022090438,0.20211991011652478
Total_Cases,ARIMA,3,2,10.33787810983744,10.58422199104863,11.027452303632217,1699.614367322624,1901.413433914971,0.7787267375606381
Total_Cases,ARIMA,3,3,8.532653597637353,8.635818371703802,8.967301156130734,1495.004090448152,1601.5121068886365,0.7507553182699124
